episodes,total_reward,reward,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1,256.490812264029,-8.583037676463718,1.3200000000000007,-1.2003835774363918,0.1155194920771964,0.0,3.469130857224288,1.7110125828779683,0.0,-1.3723940411488753,-2.6278298227341566,-16.291408984383846,-11.470963235791746,9.480579360901192,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
2,257.1472668658864,-8.604171665412103,1.3200000000000007,-1.190436099233263,0.16273088875160452,0.0,3.4772353644951544,1.701479724168423,0.0,-1.3537969192826322,-2.5499742213060457,-16.351139191936507,-11.438845259473938,9.461816075614639,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
3,255.42983628111648,-8.627906830795961,1.3200000000000007,-1.195791563596419,0.05321698809185069,0.0,3.4860162137703163,1.7268529708137237,0.0,-1.4187791248990393,-2.7092010292269637,-16.303159507837172,-11.348495507408074,9.565489093711541,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
4,235.83255547921652,-23.60076255430733,1.3800000000000008,-1.4057256045664226,-3.276844823287895,0.0,6.174058222642559,2.8645172440921414,0.0,-2.582898499908347,-3.664712080904348,-19.286000720265914,14.112725211178738,11.174233381158066,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
5,-7.8304991360689336,-22.294330137573414,1.620000000000001,-6.454457486118397,1.1226204117123295,0.0,2.032446022113959,2.447666827355828,0.0,-2.390291531629025,2.1320748686003164,-9.012867894476702,4.41223957711454,8.945046281777081,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
6,86.99615438781026,-46.46809031657374,2.520000000000002,-11.708574860423548,2.7060234700135415,0.0,4.591195656598096,3.243201954949704,0.0,-6.1958278016576855,6.466000728438817,-16.914493118171237,-18.921803709866364,18.942146167205696,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
7,226.70116986138416,-25.841515994601234,1.4400000000000008,-0.4477034214150551,4.706926327914135,0.0,5.18313195610056,3.0981326176921,0.0,-1.1207792696906844,8.013598153912792,-16.18398304741406,-18.875497762268335,18.919546944394998,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
8,226.7044123340606,-25.84229964900144,1.4400000000000008,-0.4417824219403715,4.706458872958388,0.0,5.184230907480902,3.097425465423271,0.0,-1.1200477910739661,8.012750735683294,-16.198448385157064,-18.832812743672605,18.91299921093447,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
9,202.59460649375734,-28.651010543441725,1.5000000000000009,-0.5196606340953702,5.286085605863512,0.0,4.83813351841602,4.168996167822623,0.0,-1.0527474291135017,8.338551052606961,-16.69176090177438,-17.59234300430859,18.926350320399827,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
10,249.94240518596507,-17.528164484642105,1.5000000000000009,-0.523390986628386,3.937275705768488,0.0,0.7954836109814787,4.227006878834004,0.0,-0.9799835884214771,3.145539756970855,-15.288852489728145,-3.8331268530707603,18.724424683636492,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
